rank,card
1716,7631
1717,1638
1718,1531
1719,9561
1720,5338
1721,6617
1722,8382
1723,9748
1724,9466
1725,2513
1726,6434
1727,8353
1728,4660
1729,5339
1730,6916
1731,9906
1732,3769
1733,3750
1734,3200
1735,6653
1736,8321
1737,5358
1738,839
1739,3712
1740,1425
1741,2848
1742,6948
1743,185
1744,3764
1745,9147
1746,4442
1747,6911
1748,5289
1749,6451
1750,9901
1751,2932
1752,5836
1753,4677
1754,8713
1755,4061
1756,4856
1757,3661
1758,2435
1759,4908
1760,5391
1761,6541
1762,274
1763,2788
1764,5754
1765,9057
1766,1167
1767,5294
1768,7287
1769,5676
1770,1826
1771,3296
1772,3627
1773,8392
1774,5801
1775,1201
1776,2101
1777,3106
1778,1548
1779,1145
1780,3067
1781,1866
1782,4063
1783,791
1784,6674
1785,4151
1786,4011
1787,1666
1788,9022
1789,1900
1790,7072
1791,3257
1792,4440
1793,4567
1794,6686
1795,5667
1796,1471
1797,6488
1798,7166
1799,4405
1800,6253
1801,4885
1802,2158
1803,1474
1804,3807
1805,8593
1806,8386
1807,5986
1808,6820
1809,1035
1810,2423
1811,1839
1812,3721
1813,7475
1814,2966
1815,9997
1816,6759
1817,657
1818,1622
1819,6277
1820,1297
1821,2776
1822,2221
1823,4539
1824,8081
1825,781
1826,1292
1827,9288
1828,857
1829,939
1830,5644
1831,9869
1832,2992
1833,3972
1834,4040
1835,7812
1836,5090
1837,2354
1838,3601
1839,8727
1840,7607
1841,3458
1842,7141
1843,6116
1844,9580
1845,252
1846,7097
1847,6089
1848,9960
1849,5095
1850,2250
1851,4559
1852,1640
1853,7429
1854,9824
1855,850
1856,4671
1857,4737
1858,9724
1859,9341
1860,2390
1861,536
1862,4556
1863,7613
1864,7737
1865,6464
1866,2601
1867,4490
1868,8546
1869,8404
1870,6406
1871,7200
1872,976
1873,5643
1874,6358
1875,1182
1876,9252
1877,7362
1878,8642
1879,3714
1880,5941
1881,5914
1882,6571
1883,6390
1884,4189
1885,2026
1886,5740
1887,3353
1888,9976
1889,508
1890,7003
1891,209
1892,2720
1893,310
1894,7518
1895,3994
1896,5052
1897,7299
1898,7895
1899,8052
1900,6681
1901,1356
1902,8602
1903,52
1904,3536
1905,1249
1906,4649
1907,4653
1908,4465
1909,4684
1910,31
1911,1454
1912,2182
1913,9118
1914,2651
1915,958
1916,3369
